Taxon	238322001677.P1	238322001964.P2	238322002045.P3	238322001915.P4	238322001588.K1	238322000220.K2	238322000983.K3	238322001364.K4	238322001495.L1	238322001218.L2	236191003825.L3	236191002984.L4	236191003814.W1	236191002875.W2	236191003850.W3	236191003556.W4	236191002863.CTL1	236191003484.CTL2
g__Acidobacterium_A;s__Acidobacterium_A ailaaui	0.000000	0.000000	0.000000	0.000000	0.000020	0.000000	0.000000	0.000000	0.000050	0.000060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000010	0.000000	0.000000
g__Varibaculum;s__Varibaculum cambriense_A	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002331	0.000000	0.000000	0.000000	0.000000
g__Bifidobacterium;s__Bifidobacterium thermophilum	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Brevibacterium;s__Brevibacterium ravenspurgense	0.000000	0.000000	0.000000	0.000000	0.000000	0.000070	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Microbacterium;s__Microbacterium sp003293595	0.000000	0.000000	0.000000	0.000000	0.000080	0.000000	0.000020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Microbacterium;s__Microbacterium sp902506375	0.000000	0.000000	0.000000	0.000000	0.000120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Pseudoclavibacter_A;s__Pseudoclavibacter_A caeni	0.000000	0.000000	0.000000	0.000000	0.000120	0.000160	0.000120	0.000000	0.000130	0.000110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000050	0.000000	0.000000
g__Micrococcus;s__Micrococcus luteus	0.000000	0.000000	0.000000	0.000000	0.000040	0.000000	0.000000	0.000000	0.000050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Pseudoglutamicibacter;s__Pseudoglutamicibacter cumminsii_A	0.000000	0.000000	0.000000	0.000000	0.000000	0.000090	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Collinsella;s__Collinsella aerofaciens_M	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001721	0.000000	0.000000	0.000000	0.000000
g__Corynebacterium;s__Corynebacterium vitaeruminis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000060	0.000060	0.000000	0.000090	0.000040	0.000000	0.000000	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000
g__Lawsonella;s__Lawsonella clevelandensis_A	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000130	0.000250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Cutibacterium;s__Cutibacterium acnes	0.000000	0.000000	0.000000	0.000000	0.001230	0.000120	0.000110	0.004011	0.001000	0.001370	0.009360	0.000000	0.000000	0.000000	0.000000	0.000010	0.000000	0.000000
g__Cutibacterium;s__Cutibacterium namnetense	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Streptomyces;s__Streptomyces albidoflavus	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Streptomyces;s__Streptomyces olivaceus	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003791	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Streptomyces;s__Streptomyces rochei	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Sulfurihydrogenibium;s__Sulfurihydrogenibium subterraneum	0.000000	0.000000	0.000000	0.000000	0.000000	0.000020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Bacteroides;s__Bacteroides intestinalis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002461	0.000000	0.000000	0.000000	0.000000
g__Bacteroides;s__Bacteroides stercoris	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004051	0.000000	0.000000	0.000000	0.000000
g__Bacteroides;s__Bacteroides uniformis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011144	0.000000	0.000000	0.000000	0.000000
g__Phocaeicola;s__Phocaeicola massiliensis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003081	0.000000	0.000000	0.000000	0.000000
g__Phocaeicola;s__Phocaeicola sp900760795	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005692	0.000000	0.000000	0.000000	0.000000
g__Phocaeicola;s__Phocaeicola vulgatus	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008523	0.000000	0.000000	0.000000	0.000000
g__Prevotella;s__Prevotella copri	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010594	0.000000	0.000000	0.000000	0.000000
